title|description
The Matrix|A computer hacker learns about the true nature of reality and his role in the war against its controllers.
Inception|A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.
Interstellar|A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Prestige|After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.
Memento|A man with short-term memory loss attempts to track down his wife's murderer.
The Dark Knight|When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham.
Fight Club|An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into something much, much more.
Forrest Gump|The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other historical events unfold from the perspective of an Alabama man with an IQ of 75.
Pulp Fiction|The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
The Lord of the Rings: The Fellowship of the Ring|A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Gladiator|A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Braveheart|Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
The Godfather|The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Schindler's List|In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
The Shawshank Redemption|Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
The Green Mile|The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.
Saving Private Ryan|Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
The Silence of the Lambs|A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
Se7en|Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
The Usual Suspects|A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.
The Lion King|Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.
Back to the Future|Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.
The Terminator|A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.
The Empire Strikes Back|After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.
Raiders of the Lost Ark|In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.
Jurassic Park|A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
Titanic|A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.
Avatar|A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
The Wolf of Wall Street|Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.
Gone Girl|With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.
Django Unchained|With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.
The Social Network|Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.
Inglourious Basterds|In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.
Mad Max: Fury Road|In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the help of a group of female prisoners, a psychotic worshiper, and a drifter named Max.
The Revenant|A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
The Departed|An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
A Beautiful Mind|After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.
The Big Short|In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.
The King's Speech|The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.
Slumdog Millionaire|A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of "Who Wants to Be a Millionaire?".
The Grand Budapest Hotel|A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.
La La Land|While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.
Whiplash|A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Her|In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.
